seconds,FHR,UC,FHR_denoised
0,127.75,1.0,127.75
1,127.75,1.0,127.75
2,129.25,1.0,129.25
3,129.25,1.0,129.25
4,128.75,1.0,128.75
5,128.75,1.0,128.75
6,129.75,1.0,129.75
7,129.75,1.0,129.75
8,128.25,1.0,128.25
9,128.25,1.0,128.25
10,128.25,1.0,128.25
11,128.25,1.0,128.25
12,128.75,1.0,128.75
13,128.25,1.0,128.25
14,128.25,1.0,128.25
15,129.75,1.0,129.75
16,129.75,1.0,129.75
17,129.75,1.0,129.75
18,129.75,1.0,129.75
19,132.75,1.0,132.75
20,132.75,1.0,132.75
21,132.25,1.0,132.25
22,132.25,1.0,132.25
23,132.75,1.0,132.75
24,131.5,1.0,131.5
25,131.5,1.0,131.5
26,132.25,1.0,132.25
27,132.25,1.0,132.25
28,131.0,1.0,131.0
29,131.0,1.0,131.0
30,131.0,1.0,131.0
31,131.0,1.0,131.0
32,130.5,1.0,130.5
33,130.5,1.0,130.5
34,132.75,1.0,132.75
35,131.0,1.0,131.0
36,131.0,1.0,131.0
37,132.25,1.0,132.25
38,132.25,1.0,132.25
39,131.0,1.0,131.0
40,131.0,1.0,131.0
41,131.0,1.0,131.0
42,131.0,1.0,131.0
43,127.75,1.0,127.75
44,127.75,1.0,127.75
45,128.25,1.0,128.25
46,128.75,1.0,128.75
47,128.75,1.0,128.75
48,129.25,1.0,129.25
49,129.25,1.0,129.25
50,130.5,1.0,130.5
51,130.5,1.0,130.5
52,130.5,1.0,130.5
53,130.5,1.0,130.5
54,132.75,1.0,132.75
55,132.75,1.0,132.75
56,133.25,1.0,133.25
57,133.25,1.0,133.25
58,133.25,1.0,133.25
59,133.25,1.0,133.25
60,133.25,1.0,133.25
61,134.0,1.0,134.0
62,134.0,1.0,134.0
63,134.0,1.0,134.0
64,134.0,1.0,134.0
65,134.5,1.0,134.5
66,133.25,1.0,133.25
67,133.25,1.0,133.25
68,134.0,1.0,134.0
69,134.0,1.0,134.0
70,134.0,1.0,134.0
71,134.0,1.0,134.0
72,131.5,1.0,131.5
